Source,Target,Type,Id,Label,timeset,Weight
113456,113456,Directed,12681,,,1
113456,7089,Directed,13123,,,1
113456,31073,Directed,13124,,,1
113456,126952,Directed,13146,,,1
113835,114888,Directed,12719,,,2
113935,1251,Directed,12692,,,1
114139,116916,Directed,13464,,,2
114139,125164,Directed,13502,,,1
114358,108508,Directed,12706,,,1
114358,114358,Directed,12707,,,1
114536,114536,Directed,12716,,,3
115291,115291,Directed,12924,,,2
115676,98602,Directed,12763,,,2
115676,115676,Directed,12764,,,4
116045,15046,Directed,12776,,,1
116045,116046,Directed,12777,,,1
116046,116045,Directed,12778,,,1
116046,15046,Directed,12779,,,2
116046,116046,Directed,12780,,,2
116590,116588,Directed,12814,,,1
116590,116589,Directed,12815,,,1
116590,116590,Directed,12816,,,1
116916,75014,Directed,12832,,,5
116916,11583,Directed,12833,,,14
116916,114139,Directed,12864,,,2
116916,12217,Directed,13016,,,2
116916,80486,Directed,13018,,,3
116916,96736,Directed,13104,,,1
116916,116916,Directed,13105,,,2
116916,126323,Directed,13137,,,1
116916,58051,Directed,13311,,,1
116916,125164,Directed,13312,,,2
116916,102343,Directed,13522,,,1
116916,5975,Directed,13627,,,2
116916,27759,Directed,13824,,,1
117744,38277,Directed,12850,,,2
117744,117744,Directed,12851,,,2
117744,119,Directed,12852,,,2
117848,117848,Directed,12856,,,1
117848,94785,Directed,13027,,,1
117848,16669,Directed,13028,,,1
118399,118399,Directed,12870,,,9
118741,118741,Directed,12912,,,1
119067,119068,Directed,12909,,,1
119068,119067,Directed,12910,,,1
119068,119068,Directed,12911,,,1
119068,19584,Directed,12926,,,4
119550,119550,Directed,12945,,,4
119698,43,Directed,13106,,,1
120055,120055,Directed,12976,,,1
120119,1115,Directed,13129,,,1
120152,9398,Directed,12936,,,1
120152,120152,Directed,12977,,,1
120657,11819,Directed,12951,,,3
122567,116916,Directed,12992,,,4
122567,11583,Directed,13006,,,9
122567,9565,Directed,13045,,,1
122567,75014,Directed,13141,,,3
122567,86209,Directed,13150,,,2
123255,119,Directed,13005,,,1
123376,123376,Directed,13140,,,3
123765,954,Directed,13029,,,1
123765,488,Directed,13030,,,2
123765,26514,Directed,13031,,,2
123765,123765,Directed,14066,,,1
123800,122733,Directed,13032,,,1
123800,2348,Directed,13033,,,1
123800,116056,Directed,13225,,,1
123800,3150,Directed,13226,,,1
123800,753,Directed,13534,,,1
123800,12722,Directed,13565,,,1
123800,1843,Directed,14059,,,1
123800,154492,Directed,14060,,,1
123800,154493,Directed,14061,,,1
123931,108863,Directed,13036,,,1
123931,123779,Directed,13039,,,2
123931,124629,Directed,13050,,,1
123931,124630,Directed,13051,,,1
123931,93092,Directed,13052,,,1
123931,155520,Directed,13856,,,1
123931,155240,Directed,13857,,,1
123931,144505,Directed,13887,,,1
123962,123962,Directed,13037,,,22
123972,123779,Directed,13043,,,2
123972,139344,Directed,13421,,,1
123972,28903,Directed,13422,,,1
123972,144445,Directed,13562,,,1
123972,134337,Directed,13563,,,1
123972,131924,Directed,13593,,,1
123972,155240,Directed,13851,,,1
123972,155520,Directed,13869,,,1
124065,123779,Directed,13040,,,2
124065,62088,Directed,13244,,,1
124065,50120,Directed,13842,,,2
124065,137484,Directed,13843,,,1
