edges,weight
"('ai', 'voiceassistants')",151.0
"('iot', 'homeautomation')",151.0
"('smarthome', 'smarthouseaz')",150.0
"('speaking', 'retreat')",150.0
"('ai', 'robots')",149.0
"('iot', 'amazonecho')",149.0
"('smarthome', 'monitor')",149.0
"('security', 'monitor')",149.0
"('security', 'smarthouseaz')",149.0
"('security', 'smartcity')",149.0
"('show', 'lifestyle')",149.0
"('voiceassistant', 'smarter')",149.0
"('ux', 'ces2018')",149.0
"('smarthouseaz', 'monitor')",149.0
"('smartcity', 'monitor')",149.0
"('amazon', 'googleassistant')",148.0
"('amazon', 'ces')",148.0
"('alexa', 'hotel')",147.0
"('alexa', 'smartcities')",147.0
"('alexa', 'model')",147.0
"('alexa', 'mind')",147.0
"('dementia', 'mind')",147.0
"('alzheimers', 'mind')",147.0
"('remeapp', 'mind')",147.0
"('mind', 'mci')",147.0
"('alexa', 'design')",146.0
"('alexa', 'ml')",145.0
"('alexa', 'office')",145.0
"('echo', 'skill')",145.0
"('conserve', 'reporting')",145.0
"('alexaranking', 'seo')",144.0
"('roku', 'listen')",144.0
"('alexa', 'alexainternet')",143.0
"('alexa', 'kindle')",143.0
"('alexa', 'yogionzee')",143.0
"('amazon', 'healthcare')",143.0
"('cortana', 'fintech')",143.0
"('tech', 'kodi')",143.0
"('staging', 'realtor')",143.0
"('yoga', 'meditation')",143.0
"('yogionzee', 'meditation')",143.0
"('virtualassistants', 'usa')",143.0
"('alexa', 'omgtv')",142.0
"('alexa', 'lovers')",142.0
"('tech', 'omgtv')",142.0
"('tech', 'lovers')",142.0
"('heygoogle', 'oscars')",142.0
"('lighting', 'healthyliving')",142.0
"('smarthouseaz', 'planning')",142.0
"('smarthouseaz', 'realtor')",142.0
"('smarthouseaz', 'calendar')",142.0
"('smarthouseaz', 'events')",142.0
"('healthyrecipes', 'healthyliving')",142.0
"('media', 'kodi')",142.0
"('omgtv', 'kodi')",142.0
"('omgtv', 'lovers')",142.0
"('kodi', 'lovers')",142.0
"('alexa', 'voicesearch')",141.0
"('alexa', 'wesite')",141.0
"('alexa', 'colors')",141.0
"('alexa', 'offers')",141.0
"('iot', 'home')",141.0
"('iot', 'smart')",141.0
"('amazon', 'assistant')",141.0
"('searchengine', 'wesite')",141.0
"('searchengine', 'alexaranking')",141.0
"('searchengine', 'alexainternet')",141.0
"('wesite', 'alexaranking')",141.0
"('wesite', 'seo')",141.0
"('wesite', 'alexainternet')",141.0
"('wesite', 'networktools')",141.0
"('alexaranking', 'alexainternet')",141.0
"('alexaranking', 'networktools')",141.0
"('seo', 'alexainternet')",141.0
"('alexainternet', 'networktools')",141.0
"('media', 'omgtv')",141.0
"('media', 'lovers')",141.0
"('alexa', 'nocost')",140.0
"('google', 'heygoogle')",140.0
"('freetools', 'wesite')",140.0
"('freetools', 'alexaranking')",140.0
"('freetools', 'alexainternet')",140.0
"('freetools', 'nocost')",140.0
"('searchengine', 'nocost')",140.0
"('searchengine', 'search')",140.0
