Id,Label,timeset,no_tweets,no_mentions
17604,memodoring,,3,26
17680,help_ch,,0,20
17723,cobusgreylingza,,8,42
17851,olexandrasemen,,3,444
17933,seattletimes,,1,18
18321,concur,,0,26
18354,gp_pulipaka,,1,115
18357,therock,,0,54
18455,intel,,0,16
18476,yarmolukdan,,3,198
18477,siemens,,0,74
18478,siemensusa,,0,74
18510,theellenshow,,0,43
18526,pullstringinc,,5,18
18575,destinythegame,,0,21
18576,bungie,,0,17
18607,amitabhrjha,,3,51
18658,jordanrcrook,,0,117
18706,mvollmer1,,18,49
18712,flashtweet,,5,159
18767,maxime_tricoire,,4,27
18802,smartly_ai,,44,65
18830,what3words,,2,43
18831,dxctechnology,,4,55
18922,thankyougoddess,,0,24
18924,moonshot_io,,16,16
18968,techrepublic,,8,47
19274,incubateind,,8,51
19279,windowsuk,,4,69
19310,lastbabyboomer,,2,112
19458,acloudguru,,2,22
19547,dez_blanchfield,,5,173
19554,jeffbarr,,0,131
19584,amazonpay,,16,45
19629,polycom,,8,70
19675,scottkirsner,,6,20
19734,aviel,,2,25
19739,quartzatwork,,0,17
19826,nickmcquire,,0,17
19837,lnpservices,,1,87
19852,accentureops,,4,16
19891,andi_staub,,14,58
19903,digitaltrendses,,29,85
19978,lesechos,,0,38
20104,jlist,,0,26
20260,swisscognitive,,0,106
20377,journaldunet,,1,21
20401,bbcnews,,0,26
20438,healthranger,,0,77
20462,skift,,0,16
20878,cstorenews_,,8,43
20887,zdnetfr,,0,30
20917,bbctech,,0,17
20968,lars9596,,31,43
21063,julialuc,,0,18
21064,samsung,,0,50
21129,clusterstock,,0,35
21145,telexplainer,,4,17
21171,stopslaughtracc,,0,37
21209,alvinfoo,,51,248
21236,eokalburgi,,15,30
21334,chboursin,,31,90
21533,agenzia_italia,,0,62
21543,jordanpetersonm,,0,33
21565,clarkscondensed,,4,99
21582,frronconi,,3,59
21874,applelianos,,5,82
21894,zenb0b,,2,76
22023,ephilnews,,26,83
22060,patriots,,0,36
22236,protectstar,,0,17
22417,bmi_bund,,0,69
22497,jonnyevans_cw,,0,41
22559,cmswire,,2,19
22578,holgermu,,66,46
22645,ifttt,,2,38
22789,carinanel88,,7,39
22795,digitalnaiv,,16,28
22810,joenglert,,49,63
22856,microsoftde,,23,37
22867,88_nishiii,,0,25
22890,emarketer,,0,26
22901,gigabarb,,5,33
23005,serviceplan,,12,21
23008,constellationr,,40,17
23026,schofe,,0,33
23114,amazonnews,,6,26
23155,harvardbiz,,0,19
23161,toddbergin,,0,21
23236,alexaladyekt,,6,408
23253,coastw,,2,78
23255,ksngtysofficial,,0,23
23297,yoshida_takuro,,0,614
23322,yamaco,,0,195
23745,htcjapan,,2,17
23975,primevideo,,0,18
24019,danieleran,,12,160
24133,rajat_shrimal,,0,49
24233,ragdose,,18,22
24235,bollyhungama,,1,55
24270,fisher85m,,14,43
24285,der_postillon,,0,176
24407,jess_p_williams,,4,25
24486,arandoros,,0,26
24550,threnodyt,,0,16
24597,blognt,,19,84
24653,telesurtv,,4,74
24806,jeffreybuskey,,3,46
24810,googlemaps,,0,312
24835,onvocalinc,,5,38
24862,siri,,0,47
25004,cleverclogsio,,0,19
25045,geberconsulting,,0,36
25083,codetiburon,,0,28
25104,real7delaan,,10,54
25107,john1827joyce,,10,31
25147,u_khabo,,0,181
25186,formeradultstar,,0,121
25207,ahier,,18,132
25250,zoom_us,,0,178
25262,shazam,,0,57
25312,raspberry_pi,,0,35
25315,jamestaylor_com,,0,35
25341,karantacker,,1,37
25347,bankofamerica,,0,29
25452,ft,,0,26
25465,ipadinsightblog,,0,91
25625,tiffani_bova,,1,39
25704,angelsfreak7,,2,27
25776,wwwhatsnew,,0,79
25788,iamcardib,,0,230
25811,drudge_report,,0,61
26064,profgalloway,,0,20
26122,cnn,,0,54
26175,nbcsnl,,0,22
26202,infowars,,1,36
26322,nfl,,0,61
26326,panda_koubou_,,0,25
26367,jeromecolombain,,0,67
26418,techradar,,0,21
26514,youtubeindia,,0,59
26527,mandeeplota,,0,43
26543,kirkdborne,,4,77
26585,cnnmoney,,0,28
26599,lianabell8,,36,36
26619,marsattacks,,0,21
26635,anne_michels,,1,47
26688,twitch,,0,36
26700,tpain,,0,30
26729,msnbc,,4,29
26759,alltechasianews,,7,26
26920,rfnvx,,3,21
26921,mattbeauv,,2,20
26931,3itcom,,31,51
27000,kanesimms,,35,43
27182,garrybushell,,3,45
27184,hisenseglobal,,0,33
27258,mobiloitte,,1,30
27315,drwetter,,2,31
27360,omkar_raii,,2,53
27373,trishtrashers,,0,31
27392,dj45williams,,2,18
27418,adesignmedia,,40,32
27454,frost_sullivan,,3,35
27572,petioteric,,6,30
27578,godsoftheearth,,6,18
27591,officenews,,1,62
27592,outlook,,2,75
27619,office,,2,17
27709,maryjofoley,,0,24
27759,handslabinc,,2,18
27793,letsnurture,,2,54
27842,muppetaphrodite,,10,32
27978,thebruvstv,,11,28
28080,sputnikint,,16,81
28216,yi_benevolence,,8,490
28222,joachimhesse,,2,27
28328,uctodaynews,,17,16
28341,01net,,0,38
28350,raqamitv,,0,49
28401,ciokurator,,6,16
28403,jgamet,,2,19
28415,kingjames,,0,24
28417,ponziomirko,,0,18
28442,jetpack_7,,0,18
28459,insideamazon,,5,25
28466,microsoftbr,,0,26
28473,shapiro50plus,,0,20
28493,nybulletins,,0,33
28547,nba,,0,25
28566,heuteshow,,0,115
28798,jonyiveparody,,0,106
28817,benfoxrubin,,0,21
28818,techmeme,,0,17
28903,repubblica,,0,82
28969,dapfpodcast,,1,94
28982,teerexradio,,63,30
28983,phantomradio60,,2,28
29012,ingrid39678584,,0,19
29045,danish_0786,,0,20
29071,apvoiceovers,,100,97
29153,deeplearn007,,0,18
29163,modelsupplies,,60,38
29228,wiretechgirl,,18,36
29435,zeusfanhouse,,65,66
29461,contemprainn,,24,24
29487,capamaggundem,,0,16
29666,thepihut,,0,16
29733,gabymeza8,,0,56
29748,zdfwiso,,0,17
29826,whisfyldecoast,,30,32
29876,bheater,,0,24
29925,swachhbharatka1,,10,16
30112,alexaskillslist,,165,46
30178,originalfunko,,0,169
30182,s04,,0,23
30220,oflincoln,,5,29
30225,cyrustoulabi,,3,147
30415,karlkatur,,3,39
30432,windowsinsider,,0,61
30468,marktwaechter,,2,47
30495,fingertipsol,,0,26
30768,sidedish_org,,0,56
30873,iquii,,1,22
30895,zddk_,,0,24
30947,kikkastaff,,0,17
30970,azure_france,,4,22
30971,relationcltmag,,0,17
31050,stu007gots,,28,87
31062,therealmikeepps,,3,83
31072,klaus_mueller,,8,29
31073,padeluun,,10,17
31152,meeeeshelmybell,,2,31
31153,30secondstomars,,2,33
31342,nowthisnews,,0,26
31351,jeffkagan,,58,35
31352,rcrwirelessnews,,0,34
31444,laforeignsavage,,0,37
31639,jeffsheehan,,9,16
31663,therealmarvin,,20,45
31921,shawnhymel,,1,17
32079,ashish75_in,,85,16
32143,zeitonline,,1,62
32403,realpaulburling,,47,41
32608,mikericksecker,,7,19
32609,hauntedroadmed,,7,25
32721,dish,,0,215
